[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
1000000
[54117:0x31507000]       35 ms: Scavenge 4.9 (7.1) -> 4.1 (7.1) MB, pooled: 0.0 MB, 0.09 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
